,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-26980.2,3.82046,93.288,93.4038,-27134.8,-26981.2,-26829.3,598.361,949.966,1.00098
mu_eta1,-0.413986,0.0248302,0.472163,0.286929,-1.33662,-0.29835,0.0846612,528.263,463.697,1.00475
gamma_raw[1],-0.572564,0.0235442,1.16653,1.17759,-2.45696,-0.578531,1.33219,2467.59,1680.45,0.99924
gamma_raw[2],-0.324236,0.0241722,1.16772,1.21996,-2.27394,-0.31359,1.54777,2438.99,1495.65,1.00107
gamma_raw[3],-0.260914,0.0232988,1.14412,1.21011,-2.13971,-0.254592,1.56023,2428.34,1582.44,1.00032
gamma_raw[4],-0.412511,0.0219864,1.13133,1.1458,-2.26595,-0.438157,1.49075,2645.35,1522.3,1.00362
sigma_eta,1.19581,0.00849263,0.215032,0.176637,0.927466,1.15206,1.62288,891.683,856.567,1.00292
eta[1],0.753907,0.00217511,0.130133,0.132407,0.535125,0.750495,0.973282,3619.69,1367.43,1.002
eta[2],-0.554146,0.00185097,0.123956,0.129925,-0.760281,-0.553229,-0.354233,4535.22,1432.89,0.999529
eta[3],5.425,0.0167274,0.792658,0.756208,4.29957,5.32834,6.85418,2947.38,1017.51,0.999662
eta[4],0.34437,0.00179783,0.124869,0.132762,0.141981,0.344046,0.54728,4874.31,1284.87,1.00784
eta[5],-2.28259,0.00333726,0.214898,0.212627,-2.64705,-2.28112,-1.94673,4374.24,1463.23,1.0013
eta[6],2.79736,0.00508392,0.289428,0.266223,2.33057,2.78558,3.29109,3574.93,1087.06,1.00141
eta[7],-0.63866,0.00199368,0.132331,0.127097,-0.859494,-0.636887,-0.425977,4501.85,1498.03,1.00005
eta[8],-0.117689,0.00188759,0.123715,0.118464,-0.316896,-0.11902,0.0845811,4311.52,1450.68,1.00002
eta[9],-0.556231,0.0021763,0.128678,0.126616,-0.772594,-0.557312,-0.350728,3609.81,1254.09,1.0007
eta[10],-1.15719,0.00229074,0.146631,0.145673,-1.40217,-1.15556,-0.924841,4401.78,1449.33,0.999918
eta[11],-0.300593,0.00203061,0.121323,0.119553,-0.497623,-0.303458,-0.098521,3637.77,1588.25,1.00136
eta[12],-1.22189,0.00234939,0.138739,0.135821,-1.45089,-1.22213,-1.001,3468.52,1492.73,1.00392
eta[13],1.14961,0.00218463,0.144426,0.150743,0.911854,1.14975,1.38813,4495.79,1530.97,1.00107
eta[14],0.313245,0.0020247,0.123835,0.126653,0.107968,0.312883,0.514344,3766.93,1364.86,1.00588
eta[15],-0.459974,0.00173601,0.13062,0.125676,-0.675008,-0.459251,-0.240398,5053.77,1341.61,1.00103
eta[16],3.8996,0.00718495,0.429841,0.416195,3.22913,3.8709,4.61456,3641.83,1562.08,1.00459
eta[17],-1.96623,0.0028241,0.179726,0.178994,-2.26719,-1.96365,-1.66985,4218.22,1388.29,1.00117
eta[18],-0.619736,0.00218873,0.129428,0.129037,-0.82918,-0.620701,-0.409149,3457.64,1285.16,1.0049
eta[19],3.59906,0.00687252,0.382496,0.390554,2.99522,3.58254,4.26239,3408.95,1297.27,1.00055
eta[20],-1.30701,0.0023881,0.15507,0.154139,-1.56628,-1.30353,-1.04999,4429.11,1282.93,1.00492
eta[21],-0.474061,0.00183089,0.12536,0.12156,-0.680956,-0.471446,-0.267696,4613.59,1436.31,0.999621
eta[22],1.0915,0.00229033,0.142466,0.139713,0.858398,1.09245,1.32792,3891.12,1337.42,1.0016
eta[23],4.95302,0.0125731,0.668847,0.698905,3.95582,4.89269,6.13228,3113.64,1309.06,1.00034
eta[24],1.07127,0.00205308,0.144952,0.137585,0.833272,1.06821,1.3247,5125.99,1442.45,1.00595
eta[25],-0.812791,0.00218292,0.134346,0.136533,-1.04176,-0.811629,-0.600047,3904.43,1266.05,0.999653
eta[26],-0.103257,0.00191385,0.126648,0.127978,-0.305991,-0.101523,0.101385,4363.78,1403.14,1.00033
eta[27],-0.0241001,0.00180666,0.12365,0.128963,-0.227416,-0.0258118,0.17888,4784.45,1290.86,1.00418
eta[28],-0.739708,0.00209644,0.125682,0.124922,-0.947149,-0.738041,-0.538375,3686.51,1482.51,1.00147
eta[29],-3.58881,0.00674781,0.384473,0.374349,-4.26021,-3.5624,-2.98521,3860.78,1343.24,1.00036
eta[30],0.425918,0.00193365,0.126619,0.122407,0.219939,0.423273,0.641733,4475.86,1393.28,1.00044
eta[31],-1.42622,0.00240933,0.15246,0.152248,-1.68158,-1.42272,-1.18534,4620.48,1223.07,1.00291
eta[32],1.19595,0.00212593,0.140631,0.138527,0.971827,1.194,1.42735,4334.19,1241.38,1.00252
eta[33],1.25846,0.00235296,0.149588,0.15081,1.01493,1.25978,1.5069,4085.81,1624.43,0.999799
eta[34],0.00296508,0.00208587,0.124915,0.126191,-0.201833,0.00131864,0.20659,3528.78,1356.19,1.00055
eta[35],-1.15399,0.00208251,0.14299,0.144413,-1.39083,-1.15338,-0.929797,4753.94,1168.0,1.00024
eta[36],0.0364639,0.00203441,0.123082,0.125545,-0.164349,0.0347863,0.24204,3722.25,1500.49,1.00097
eta[37],-0.14476,0.00205702,0.128069,0.128162,-0.355784,-0.14516,0.0665183,3863.39,1405.39,1.00046
eta[38],1.17362,0.00226677,0.141432,0.13932,0.952658,1.16823,1.41,3946.57,1193.86,1.00138
eta[39],-0.00558136,0.00196216,0.126065,0.125946,-0.212506,-0.0090911,0.205281,4269.09,1350.36,1.003
eta[40],0.532689,0.00201915,0.12941,0.126427,0.318969,0.52912,0.750272,4214.48,1333.33,0.999942
eta[41],1.88074,0.0032452,0.183953,0.181537,1.58541,1.87983,2.19693,3261.4,1337.57,0.999725
eta[42],-1.54415,0.00279627,0.162023,0.166281,-1.8162,-1.5397,-1.2816,3435.32,1430.9,1.00043
eta[43],0.34044,0.00187705,0.122307,0.12416,0.141751,0.340617,0.540502,4443.03,1588.08,1.00158
eta[44],-0.507905,0.00198174,0.125374,0.12719,-0.715867,-0.50819,-0.296797,4351.14,1285.93,1.00025
eta[45],-1.01323,0.00224454,0.139762,0.138115,-1.24349,-1.01351,-0.791267,3830.93,1501.74,0.999627
eta[46],-0.672994,0.00221741,0.12882,0.123639,-0.892968,-0.667005,-0.466639,3453.33,1282.1,1.0002
eta[47],-0.724078,0.0018214,0.133675,0.135894,-0.955821,-0.719116,-0.50613,5555.68,1450.16,1.00023
eta[48],0.935153,0.00208703,0.142078,0.139934,0.706413,0.930345,1.16649,4771.62,1602.87,0.999585
eta[49],0.344135,0.00217537,0.126194,0.129673,0.139761,0.341883,0.554168,3412.68,1260.96,0.999875
eta[50],-0.252851,0.00187442,0.120808,0.116851,-0.452494,-0.252776,-0.0488339,4164.1,1493.63,1.00065
w[1],0.655483,0.0187143,0.358747,0.118757,3.23698e-07,0.848987,0.952843,511.924,531.237,1.00872
w[2],0.168812,0.0126404,0.30688,0.00469065,3.45031e-13,0.0031638,0.891972,726.528,879.406,1.00063
w[3],0.0559921,0.00691862,0.17267,0.000451085,1.23686e-13,0.000304253,0.404305,1023.18,666.035,1.00067
w[4],0.0338868,0.00346451,0.106222,0.000571839,2.07132e-14,0.0003857,0.142442,1486.27,1203.85,1.00068
w[5],0.0858261,0.00412934,0.0960996,0.0622533,2.01491e-08,0.0744009,0.192964,1231.23,1023.03,1.00169
beta0_mu,0.654084,0.00531352,0.115239,0.113125,0.457441,0.655415,0.83894,488.751,866.963,1.0035
rho_zeta,0.968048,0.000146026,0.00248737,0.00252413,0.963902,0.968154,0.971962,290.931,495.808,1.00239
sigma_zeta,0.427081,0.000268869,0.00715244,0.00698675,0.415472,0.426962,0.439075,707.298,1020.89,1.00156
"zeta_raw[1,1]",0.929667,0.00458655,0.175906,0.17815,0.631853,0.932211,1.2168,1454.76,1504.76,1.00045
"zeta_raw[1,2]",-1.67479,0.0156527,0.74035,0.740077,-2.93756,-1.64648,-0.493126,2248.21,1508.14,1.00132
"zeta_raw[1,3]",-0.512126,0.015066,0.786638,0.792613,-1.78989,-0.521381,0.778544,2726.26,1504.97,1.00239
"zeta_raw[1,4]",-0.23881,0.0145251,0.7928,0.844357,-1.57141,-0.230939,1.0252,2996.32,1613.99,1.00101
"zeta_raw[1,5]",0.800351,0.0147901,0.7979,0.81134,-0.526149,0.792304,2.10153,2963.12,1503.15,0.999749
"zeta_raw[1,6]",1.06936,0.0137284,0.754752,0.807057,-0.15802,1.04451,2.33317,3050.12,1607.54,1.00002
"zeta_raw[1,7]",2.31783,0.0132747,0.682997,0.671625,1.19399,2.30644,3.47146,2714.76,1336.49,1.00728
"zeta_raw[1,8]",2.00531,0.0103966,0.521668,0.511794,1.13256,2.00526,2.88311,2539.34,1627.92,1.00157
"zeta_raw[1,9]",2.14047,0.00759703,0.381936,0.394075,1.52525,2.14055,2.76515,2506.66,1790.04,1.00203
"zeta_raw[1,10]",0.341813,0.00608913,0.315081,0.310675,-0.180239,0.339236,0.851663,2687.01,1754.52,1.00399
"zeta_raw[1,11]",-0.0860862,0.00732179,0.348881,0.34442,-0.6735,-0.0852201,0.483404,2309.44,1723.94,0.999813
"zeta_raw[1,12]",0.0882502,0.00737735,0.344172,0.349454,-0.491837,0.0976596,0.655924,2238.69,1686.48,1.00005
"zeta_raw[1,13]",0.118417,0.00742437,0.359509,0.347722,-0.453734,0.109653,0.72107,2338.64,1514.78,1.0005
"zeta_raw[1,14]",0.903899,0.00719982,0.345297,0.329162,0.319659,0.899193,1.49097,2333.57,1638.78,0.999836
"zeta_raw[1,15]",0.0203696,0.007142,0.333444,0.335465,-0.518565,0.0228657,0.557291,2222.89,1399.92,1.00012
"zeta_raw[1,16]",0.498078,0.00725219,0.337646,0.345525,-0.0636461,0.502165,1.04923,2192.07,1385.01,1.00251
"zeta_raw[1,17]",-0.0493847,0.00745674,0.33767,0.32625,-0.601238,-0.0537886,0.507605,2083.1,1419.43,0.999829
"zeta_raw[1,18]",0.271686,0.00738513,0.363432,0.375011,-0.327739,0.270961,0.865227,2431.66,1445.53,1.00043
"zeta_raw[1,19]",-0.651758,0.00720242,0.385309,0.376907,-1.31261,-0.652421,-0.0125114,2871.97,1531.71,1.00041
"zeta_raw[1,20]",0.0220644,0.00797116,0.409293,0.408409,-0.644071,0.0261389,0.698596,2660.34,1590.01,1.00055
"zeta_raw[1,21]",-1.2644,0.0102479,0.478398,0.477959,-2.07707,-1.26355,-0.51052,2214.93,1345.31,0.99953
"zeta_raw[1,22]",-0.158594,0.0111049,0.535106,0.541189,-1.03306,-0.159345,0.694304,2360.79,1663.87,0.999985
"zeta_raw[1,23]",-0.0494025,0.0109226,0.540465,0.533625,-0.972172,-0.0353147,0.79582,2480.27,1478.92,1.00074
"zeta_raw[1,24]",-1.07843,0.0126642,0.613802,0.616146,-2.06646,-1.08731,-0.0939267,2349.42,1397.87,1.00456
"zeta_raw[1,25]",-0.329266,0.0132771,0.658624,0.660478,-1.41105,-0.327263,0.72507,2459.34,1428.24,0.999507
"zeta_raw[1,26]",0.116425,0.0129678,0.669294,0.667843,-0.9923,0.114786,1.19259,2693.01,1550.19,0.999546
"zeta_raw[1,27]",-0.259135,0.0134214,0.688332,0.713199,-1.37025,-0.234575,0.855852,2721.85,1472.04,1.00059
"zeta_raw[1,28]",-0.413778,0.0130632,0.703784,0.686063,-1.58021,-0.395747,0.726596,2929.51,1558.99,0.999429
"zeta_raw[1,29]",-0.265,0.0139786,0.731205,0.72478,-1.47868,-0.257879,0.905305,2744.01,1473.47,1.00196
"zeta_raw[1,30]",0.326623,0.0129984,0.758941,0.770398,-0.876909,0.333089,1.55506,3520.34,970.462,1.00009
"zeta_raw[1,31]",-0.489147,0.0191641,0.916378,0.922529,-2.00736,-0.472793,0.985492,2345.69,1368.1,1.0001
"zeta_raw[1,32]",-0.471371,0.0168116,0.963675,1.00805,-2.02963,-0.455028,1.09299,3347.43,1064.07,1.00256
"zeta_raw[1,33]",-0.510418,0.0157876,0.904768,0.923918,-1.95064,-0.510634,1.00993,3334.39,1148.35,1.00637
"zeta_raw[1,34]",-0.521293,0.0173467,0.920293,0.917375,-2.03206,-0.517,1.01463,2882.03,1471.62,0.999573
"zeta_raw[1,35]",0.219293,0.0156729,0.880423,0.887268,-1.19067,0.21278,1.70915,3250.8,1325.3,0.999644
"zeta_raw[1,36]",0.616026,0.0156276,0.830916,0.802903,-0.7523,0.633374,2.01747,2819.46,1504.51,1.00513
"zeta_raw[1,37]",0.858474,0.0157399,0.809751,0.782011,-0.496418,0.86445,2.18913,2729.44,1322.59,0.999687
"zeta_raw[1,38]",-0.0924453,0.0120715,0.816678,0.821138,-1.42718,-0.103518,1.25494,4617.9,1723.99,1.00436
"zeta_raw[1,39]",-1.2253,0.0146518,0.795209,0.773636,-2.56655,-1.20439,0.0812041,2979.6,1371.17,0.999566
"zeta_raw[1,40]",-0.427292,0.0142242,0.863381,0.849834,-1.85144,-0.41529,0.970649,3767.03,1580.27,1.00059
"zeta_raw[1,41]",0.24391,0.0155769,0.829396,0.813801,-1.11946,0.259288,1.61119,2860.56,1522.3,1.00002
"zeta_raw[1,42]",0.0820279,0.0145979,0.817227,0.808938,-1.27549,0.0922712,1.43115,3158.45,1281.53,1.00034
"zeta_raw[1,43]",-0.049068,0.0142323,0.847699,0.877221,-1.46214,-0.0493383,1.31481,3557.28,1456.49,0.999839
"zeta_raw[1,44]",0.260923,0.0148839,0.818532,0.840459,-1.04532,0.256801,1.5621,3130.57,1668.39,1.00309
"zeta_raw[1,45]",0.225295,0.0142926,0.826692,0.797355,-1.10675,0.215277,1.6051,3374.54,1396.51,1.00093
"zeta_raw[1,46]",0.256058,0.0135695,0.788565,0.775106,-1.03366,0.261556,1.50986,3422.81,1601.91,1.00157
"zeta_raw[1,47]",0.865767,0.0134755,0.741038,0.754176,-0.410956,0.84672,2.03527,3011.91,1526.58,0.999217
"zeta_raw[1,48]",1.15829,0.0130093,0.743979,0.766787,-0.0529002,1.14689,2.44822,3318.15,1577.81,1.0003
"zeta_raw[1,49]",0.808924,0.0128581,0.724546,0.72458,-0.358936,0.803107,2.03476,3437.97,1350.4,1.00093
"zeta_raw[1,50]",0.167492,0.0124092,0.661996,0.656009,-0.913311,0.19416,1.22316,2944.95,1665.45,1.0002
"zeta_raw[1,51]",0.497582,0.0137029,0.649773,0.621017,-0.587813,0.490088,1.58365,2260.14,1421.03,1.00296
"zeta_raw[1,52]",1.12089,0.011426,0.603247,0.616909,0.164806,1.11474,2.11128,2801.59,1508.0,1.00069
"zeta_raw[1,53]",2.58557,0.0106224,0.531366,0.544455,1.72315,2.57511,3.47988,2533.13,1612.07,1.0002
"zeta_raw[1,54]",1.87222,0.00732169,0.358593,0.340635,1.29104,1.87691,2.44609,2487.36,1449.3,1.00099
"zeta_raw[1,55]",1.59015,0.00564003,0.271414,0.283747,1.14302,1.59073,2.0298,2327.3,1781.58,1.00091
"zeta_raw[1,56]",0.488181,0.00470123,0.234762,0.232701,0.0943904,0.490727,0.87373,2511.83,1003.82,1.00102
"zeta_raw[1,57]",-0.271874,0.00499621,0.242586,0.247123,-0.663766,-0.26883,0.112206,2377.99,1251.08,0.999823
"zeta_raw[1,58]",1.06489,0.00538099,0.250222,0.245615,0.651282,1.06381,1.46833,2236.09,1537.6,1.0004
"zeta_raw[1,59]",0.382699,0.00552562,0.226261,0.225896,0.0121025,0.379346,0.76738,1688.96,1436.24,1.00071
"zeta_raw[1,60]",0.741098,0.00488243,0.217464,0.221381,0.394223,0.735297,1.08929,1991.4,1441.04,0.999816
"zeta_raw[1,61]",-0.184598,0.00486637,0.225318,0.216881,-0.551532,-0.181698,0.189085,2153.57,1454.97,1.00143
"zeta_raw[1,62]",0.213429,0.00463774,0.231099,0.231932,-0.166598,0.214067,0.588829,2490.58,1724.37,1.00067
"zeta_raw[1,63]",0.863018,0.00475341,0.227449,0.223179,0.485006,0.862731,1.24038,2340.69,1531.62,1.00196
"zeta_raw[1,64]",-1.14763,0.00475656,0.25843,0.250326,-1.56968,-1.14766,-0.733133,2984.62,1803.86,0.999905
"zeta_raw[1,65]",-0.94389,0.00633041,0.330749,0.344187,-1.49903,-0.933557,-0.434082,2795.97,1582.87,1.00236
"zeta_raw[1,66]",-0.828514,0.00804838,0.407267,0.405025,-1.49105,-0.83531,-0.150598,2574.29,1593.95,1.00232
"zeta_raw[1,67]",-0.33134,0.00850068,0.457696,0.443219,-1.09924,-0.330435,0.420818,2914.68,1305.93,1.00101
"zeta_raw[1,68]",-1.76217,0.0114692,0.565196,0.548377,-2.73183,-1.7533,-0.847365,2548.14,1387.12,1.00168
"zeta_raw[1,69]",-0.675616,0.0124469,0.633809,0.642899,-1.69599,-0.679917,0.341159,2690.36,1690.13,1.00066
"zeta_raw[1,70]",0.767158,0.0122601,0.633378,0.661797,-0.268303,0.785782,1.77061,2677.55,1888.2,1.00091
"zeta_raw[1,71]",-0.430025,0.0112507,0.644807,0.658705,-1.52304,-0.407226,0.59451,3323.01,1572.69,1.00378
"zeta_raw[1,72]",0.198824,0.011867,0.652649,0.654926,-0.844123,0.194748,1.29076,3113.05,1351.27,0.999589
"zeta_raw[1,73]",-1.60319,0.0133564,0.74773,0.741508,-2.82446,-1.62196,-0.336753,3244.5,1346.17,1.00378
"zeta_raw[1,74]",-0.634658,0.0157673,0.86156,0.839459,-2.08503,-0.632575,0.785655,2986.16,1474.66,1.00196
"zeta_raw[1,75]",-0.675278,0.0155322,0.867848,0.86189,-2.0877,-0.699124,0.737815,3126.93,1525.93,1.00074
"zeta_raw[1,76]",-0.607992,0.0137693,0.843362,0.856353,-1.99451,-0.597415,0.748266,3773.21,1368.66,1.00118
"zeta_raw[1,77]",-0.412307,0.0143582,0.863596,0.818179,-1.84317,-0.409741,1.00992,3598.5,1376.77,1.00182
"zeta_raw[1,78]",-0.357867,0.0147038,0.902607,0.898353,-1.81329,-0.337108,1.12103,3855.34,1377.99,1.00047
"zeta_raw[1,79]",0.139284,0.0161411,0.872242,0.858114,-1.27644,0.128242,1.57575,2958.88,1612.19,1.00016
"zeta_raw[1,80]",0.204943,0.0138354,0.844146,0.85739,-1.17617,0.210449,1.58721,3726.33,1427.73,1.00026
"zeta_raw[1,81]",0.330338,0.014947,0.819589,0.812041,-1.05426,0.328294,1.64871,3138.81,1175.93,1.0003
"zeta_raw[1,82]",0.11161,0.0144496,0.873794,0.853869,-1.32918,0.125441,1.52775,3662.43,1410.35,0.999663
"zeta_raw[1,83]",0.361567,0.0146012,0.867745,0.871216,-1.00745,0.362743,1.75913,3584.14,1727.9,0.99975
"zeta_raw[1,84]",-0.985718,0.0147018,0.860593,0.875337,-2.35202,-0.988268,0.39594,3452.39,1554.26,1.00199
"zeta_raw[1,85]",-0.509171,0.017066,0.950872,0.960432,-2.08037,-0.502679,1.02819,3125.25,1291.78,1.0004
"zeta_raw[1,86]",-0.515357,0.0170435,0.952823,0.99514,-2.04194,-0.519898,1.04833,3107.6,1502.06,0.999734
"zeta_raw[1,87]",-0.214093,0.0146927,0.991729,1.01246,-1.84474,-0.205244,1.44172,4598.73,1270.04,0.99934
"zeta_raw[1,88]",-0.21256,0.0154891,0.951191,0.912561,-1.81145,-0.202275,1.38283,3906.0,1376.74,0.999753
"zeta_raw[1,89]",-0.224929,0.0156967,0.963194,0.960108,-1.83628,-0.217755,1.39767,3770.91,1627.66,1.00301
"zeta_raw[1,90]",-0.252056,0.015106,0.964469,0.9162,-1.85426,-0.260337,1.37265,4111.88,1434.74,1.0029
"zeta_raw[1,91]",-0.230125,0.0176517,0.929519,0.92536,-1.72574,-0.230432,1.28294,2803.74,1439.26,1.00056
"zeta_raw[1,92]",-0.217492,0.016823,0.931264,0.925025,-1.74107,-0.202321,1.29786,3084.7,1460.11,1.00032
"zeta_raw[1,93]",-0.0295072,0.0145841,0.942858,0.917721,-1.59435,-0.0267757,1.52615,4258.71,1498.75,0.999726
"zeta_raw[1,94]",0.182558,0.0156203,0.923107,0.919912,-1.37103,0.176019,1.63646,3451.15,1432.42,1.00019
"zeta_raw[1,95]",0.0178074,0.0152138,0.926995,0.931262,-1.50496,-0.00191225,1.52037,3768.95,1410.27,1.00298
"zeta_raw[1,96]",0.241848,0.0161883,0.926084,0.947371,-1.2775,0.242648,1.8139,3274.91,1452.24,1.00081
"zeta_raw[1,97]",0.288412,0.0155972,0.927012,0.93763,-1.239,0.299218,1.78605,3607.15,1441.99,1.00094
"zeta_raw[1,98]",0.249727,0.017681,0.950279,0.977388,-1.30532,0.224855,1.82727,2914.0,1333.8,1.00565
"zeta_raw[1,99]",0.659071,0.0145635,0.89464,0.891923,-0.780126,0.658476,2.18851,3885.15,1590.18,1.00079
"zeta_raw[1,100]",1.22673,0.014812,0.829205,0.848388,-0.0968031,1.21084,2.55358,3147.67,1365.5,1.00031
"zeta_raw[1,101]",0.899438,0.0147605,0.815376,0.836417,-0.407615,0.901054,2.20962,3078.37,1113.83,1.00056
"zeta_raw[1,102]",0.202024,0.0143501,0.803178,0.804224,-1.06226,0.191287,1.47954,3168.44,1594.76,1.00092
"zeta_raw[1,103]",0.926187,0.0139291,0.767526,0.741029,-0.351319,0.934578,2.20093,3078.46,1434.41,1.00002
"zeta_raw[1,104]",-0.597191,0.0148209,0.76334,0.775395,-1.84808,-0.605598,0.694078,2653.84,1557.85,1.00198
"zeta_raw[1,105]",-0.249165,0.013828,0.736752,0.708905,-1.46701,-0.245323,0.941611,2910.11,1581.19,0.999963
"zeta_raw[1,106]",0.34324,0.0149058,0.737684,0.753368,-0.863507,0.349304,1.53271,2453.79,1828.75,1.00013
"zeta_raw[1,107]",0.757945,0.0135954,0.736302,0.7311,-0.438047,0.758516,1.98179,2920.66,1432.16,1.00408
"zeta_raw[1,108]",0.973032,0.0130506,0.720069,0.726593,-0.203521,0.972204,2.15688,3109.86,1197.14,1.0002
"zeta_raw[1,109]",0.271181,0.0124,0.679078,0.691949,-0.826894,0.279342,1.36611,3000.47,1364.62,1.00146
"zeta_raw[1,110]",0.217939,0.0123342,0.638989,0.641174,-0.837745,0.214832,1.30219,2691.84,1338.45,1.00027
"zeta_raw[1,111]",0.321735,0.0121636,0.635038,0.635105,-0.746189,0.323863,1.37681,2745.97,1450.78,1.00129
"zeta_raw[1,112]",-0.447476,0.0132413,0.654883,0.647346,-1.51454,-0.431446,0.624845,2455.24,1274.25,1.00344
"zeta_raw[1,113]",0.791565,0.0127688,0.654362,0.63082,-0.281065,0.777142,1.90226,2676.16,1693.63,1.00123
"zeta_raw[1,114]",0.27059,0.0125124,0.630899,0.624096,-0.765558,0.266618,1.3278,2562.97,1311.86,1.00075
"zeta_raw[1,115]",0.111854,0.0116938,0.618355,0.618939,-0.92152,0.127908,1.13609,2777.03,1474.07,0.999952
"zeta_raw[1,116]",-0.205132,0.0122858,0.658398,0.658274,-1.29388,-0.201562,0.86946,2956.0,1484.04,1.00025
"zeta_raw[1,117]",-0.835696,0.0134617,0.698031,0.701384,-1.99443,-0.837334,0.328733,2758.91,1463.87,1.00152
"zeta_raw[1,118]",-0.801533,0.0144296,0.738146,0.738475,-2.03118,-0.789525,0.38673,2654.42,1475.81,1.00833
"zeta_raw[1,119]",-0.791499,0.0129727,0.79479,0.779145,-2.14529,-0.778226,0.512898,3798.92,1207.32,0.999824
"zeta_raw[1,120]",-0.998548,0.0156356,0.883491,0.918643,-2.43752,-0.998784,0.474998,3226.78,1303.53,1.00066
"zeta_raw[1,121]",-0.81348,0.0169131,0.939038,0.942742,-2.34138,-0.805111,0.704367,3060.94,1484.23,1.00086
"zeta_raw[1,122]",-0.83002,0.013968,0.892836,0.905262,-2.35733,-0.80255,0.583938,4128.77,1528.59,1.00074
"zeta_raw[1,123]",-0.536883,0.015078,0.924072,0.930149,-2.02957,-0.511602,0.973406,3785.84,1676.93,1.00213
"zeta_raw[1,124]",-0.561215,0.0156852,0.93299,0.933599,-2.07185,-0.591179,0.961219,3582.31,1169.94,1.00121
"zeta_raw[1,125]",-0.340852,0.0189315,0.933648,0.906908,-1.92997,-0.317292,1.17727,2454.24,1299.18,1.00229
"zeta_raw[1,126]",-0.334938,0.0155659,0.95114,0.963722,-1.93422,-0.346658,1.24405,3730.76,1673.31,1.00049
"zeta_raw[1,127]",-0.179516,0.0157729,0.965811,0.933016,-1.73824,-0.182786,1.40363,3960.49,1559.11,1.00046
"zeta_raw[1,128]",-0.161047,0.0170443,0.966804,0.992018,-1.73095,-0.144322,1.3953,3234.87,1439.96,1.00581
"zeta_raw[1,129]",-0.195076,0.0167206,0.941837,0.93705,-1.71528,-0.182698,1.34552,3234.94,1266.67,1.00019
"zeta_raw[1,130]",-0.183129,0.0157058,0.979476,0.973867,-1.7891,-0.184689,1.4402,3760.18,1227.09,1.00081
"zeta_raw[1,131]",-0.203263,0.0144472,0.948621,0.961845,-1.73806,-0.200696,1.35974,4370.58,1284.34,1.00107
"zeta_raw[1,132]",-0.226631,0.0148049,0.960365,0.959728,-1.83596,-0.235065,1.40566,4193.15,1328.91,1.0012
"zeta_raw[1,133]",-0.22379,0.0138042,0.989277,0.98644,-1.81259,-0.229503,1.37341,5248.83,1315.54,0.999346
"zeta_raw[1,134]",-0.208974,0.015035,0.956745,0.958152,-1.8352,-0.190302,1.35132,4126.66,1436.81,1.00073
"zeta_raw[1,135]",-0.221,0.0167084,1.01028,1.03805,-1.91319,-0.22056,1.41582,3691.43,1299.18,1.001
"zeta_raw[1,136]",-0.204266,0.0164107,0.94903,0.986616,-1.75849,-0.212157,1.35127,3492.09,1581.94,1.00233
"zeta_raw[1,137]",-0.230617,0.0164782,0.975756,0.995041,-1.80626,-0.211738,1.33989,3490.7,1478.53,0.999635
"zeta_raw[1,138]",-0.103458,0.0153038,0.982331,0.977039,-1.70895,-0.0886094,1.45361,4214.53,1249.3,1.00011
"zeta_raw[1,139]",-0.161902,0.0143262,0.986088,1.00067,-1.80924,-0.152334,1.48527,4220.62,1431.86,1.0003
"zeta_raw[1,140]",-0.12608,0.0151123,0.978016,0.944584,-1.81329,-0.134601,1.51376,4435.69,1001.72,1.00195
"zeta_raw[1,141]",-0.121321,0.0170877,0.981546,0.959889,-1.70083,-0.150863,1.48962,3364.3,1306.38,1.00271
"zeta_raw[1,142]",-0.0927913,0.0178527,0.982807,1.01458,-1.65331,-0.107835,1.52898,3175.15,1417.11,1.00553
"zeta_raw[1,143]",-0.0123306,0.015118,0.955795,0.958372,-1.56304,-0.0109436,1.54235,4127.71,1537.31,1.00017
"zeta_raw[1,144]",0.100916,0.016195,0.959178,0.939205,-1.49109,0.131431,1.66067,3519.71,879.365,1.00031
"zeta_raw[1,145]",0.103971,0.0158827,0.937317,0.925661,-1.43628,0.102731,1.6602,3529.05,1461.54,0.999625
"zeta_raw[1,146]",0.152178,0.0188646,0.943358,0.959366,-1.43367,0.153853,1.73466,2572.44,1388.76,1.00171
"zeta_raw[1,147]",0.270782,0.0154783,0.993475,1.0288,-1.37807,0.276634,1.87597,4279.11,1448.87,1.00294
"zeta_raw[1,148]",0.40322,0.0138582,0.924153,0.923832,-1.08342,0.396614,1.92359,4493.66,1339.71,1.00138
"zeta_raw[1,149]",0.253728,0.0151637,0.937605,0.992696,-1.3047,0.23331,1.79349,3818.84,1453.06,1.00423
"zeta_raw[1,150]",0.0849053,0.0173034,0.985209,0.973046,-1.59411,0.0762563,1.74053,3252.61,1316.03,1.00028
"zeta_raw[1,151]",-0.0970775,0.015138,0.92803,0.935145,-1.62744,-0.0931204,1.3673,3834.52,1319.42,1.00078
"zeta_raw[1,152]",0.193145,0.0146273,0.920737,0.936267,-1.3209,0.206446,1.67793,3991.01,1380.17,1.00291
"zeta_raw[1,153]",0.194143,0.0154601,0.95027,0.929715,-1.35656,0.186456,1.75637,3706.59,1530.04,0.999713
