,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
log_lik[6452],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6453],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6454],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6455],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6456],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6457],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6458],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6459],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6460],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6461],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6462],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6463],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6464],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6465],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6466],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6467],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6468],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6469],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6470],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6471],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6472],-3.57848,0.0167094,0.753655,0.404824,-5.13879,-3.31112,-2.94279,2448.48,1691.35,1.00172
log_lik[6473],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6474],-3.99103,0.0144014,0.522824,0.28655,-5.08594,-3.80533,-3.5289,1628.4,1582.81,1.00107
log_lik[6475],-4.04388,0.0159506,0.530971,0.273918,-5.09136,-3.86494,-3.59808,1498.77,1394.6,0.999203
log_lik[6476],-4.42424,0.0198855,0.69073,0.330805,-5.89918,-4.17126,-3.87086,1300.14,1822.03,1.0
log_lik[6477],-4.2639,0.0153207,0.605395,0.335053,-5.55034,-4.06176,-3.744,1738.99,1715.94,1.00137
log_lik[6478],-4.55273,0.0184955,0.716162,0.358915,-5.97087,-4.29731,-3.97051,1688.67,1765.59,1.00061
log_lik[6479],-4.32045,0.0156519,0.573926,0.285289,-5.45674,-4.12589,-3.83564,1522.49,1583.11,1.00369
log_lik[6480],-4.22202,0.0141119,0.538446,0.287031,-5.28315,-4.04125,-3.75646,1597.92,1727.41,1.00009
log_lik[6481],-4.27463,0.0166063,0.595483,0.301931,-5.42514,-4.07648,-3.79065,1520.39,1618.76,0.999817
log_lik[6482],-4.54142,0.0182205,0.769514,0.330205,-6.03711,-4.25462,-3.94832,1882.63,1780.42,0.999765
log_lik[6483],-4.36228,0.017732,0.660913,0.325156,-5.69918,-4.13247,-3.82083,1472.19,1432.69,1.00039
log_lik[6484],-4.60207,0.0233105,1.16151,0.964038,-6.88737,-4.30866,-3.36319,2374.18,1714.21,1.00069
log_lik[6485],-4.27434,0.0153486,0.663474,0.342451,-5.58429,-4.03518,-3.71529,2073.24,1871.77,0.999424
log_lik[6486],-4.23607,0.0154835,0.660129,0.323466,-5.60424,-4.00375,-3.70187,1957.51,1598.97,0.999612
log_lik[6487],-3.95691,0.0153677,0.536096,0.271397,-5.03277,-3.76946,-3.49322,1461.8,1495.08,1.00024
log_lik[6488],-3.56744,0.0123545,0.456718,0.229254,-4.50516,-3.41727,-3.17519,1649.24,1608.81,0.999786
log_lik[6489],-3.47156,0.0104227,0.430329,0.253791,-4.40692,-3.32974,-3.07082,1895.86,1758.89,1.00012
log_lik[6490],-2.97368,0.00978623,0.454384,0.281642,-3.83938,-2.83117,-2.54752,2284.55,1367.76,1.00176
log_lik[6491],-2.74084,0.00917991,0.468749,0.348863,-3.69173,-2.60632,-2.25829,2856.62,1647.52,1.00061
log_lik[6492],-3.18983,0.00996544,0.462256,0.322858,-4.17342,-3.04131,-2.72427,2192.61,1278.53,0.999733
log_lik[6493],-2.49651,0.00612028,0.292126,0.168075,-3.07371,-2.41214,-2.21435,2398.89,1786.24,0.999703
log_lik[6494],-2.4818,0.00655536,0.275716,0.155332,-3.00669,-2.4143,-2.21567,1768.89,1842.02,0.999705
log_lik[6495],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6496],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6497],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6498],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6499],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6500],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6501],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6502],-1.82347,0.00996092,0.505837,0.388812,-2.78898,-1.70117,-1.27981,3538.44,1608.8,0.999531
log_lik[6503],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
