unit_id,municipality,cluster,mean_omega,zero_frac,mean_count
3532306,Natividade da Serra,1,0.02688816688247238,0.9711538461538461,0.028846153846153848
3504909,Bananal,1,0.09257482327876966,0.9615384615384616,0.038461538461538464
3509700,Campos do Jordão,1,0.22760418759437182,0.6923076923076923,0.3942307692307692
3518503,Guareí,1,0.21298817156053174,0.7980769230769231,0.5
3533254,Novais,1,0.19368901416666942,0.8173076923076923,0.6153846153846154
3518008,Guarani d'Oeste,1,0.34984145941067213,0.7884615384615384,0.6730769230769231
3549508,São José da Bela Vista,1,0.1759324703200672,0.8557692307692307,0.7403846153846154
3506201,Bento de Abreu,1,0.34554956675123233,0.6153846153846154,1.0673076923076923
3553807,Taquarituba,1,0.3378268154408803,0.6634615384615384,1.0769230769230769
3528403,Mairinque,1,0.4939752730192486,0.5096153846153846,1.1634615384615385
3507209,Borá,1,0.23917807508890657,0.6538461538461539,1.2019230769230769
3509601,Campo Limpo Paulista,1,0.42541246264181476,0.6057692307692307,1.2115384615384615
3500303,Aguaí,1,0.6800293364733209,0.47115384615384615,1.2307692307692308
3555307,Turmalina,1,0.32649565453496393,0.6826923076923077,1.2884615384615385
3553203,Taiúva,1,0.37568471350911953,0.5576923076923077,1.6057692307692308
3500907,Altair,1,0.36490311582645296,0.5576923076923077,2.3076923076923075
3515806,Flora Rica,1,0.12279396896509548,0.875,2.355769230769231
3506409,Bilac,1,0.4706115984663583,0.6153846153846154,2.394230769230769
3506805,Bocaina,1,0.3644199108767848,0.6538461538461539,2.451923076923077
3540002,Pompéia,1,0.5091149688219853,0.6057692307692307,3.2884615384615383
3539707,Platina,1,0.23976062682557342,0.5865384615384616,3.3076923076923075
3553658,Taquaral,1,0.26634837016449786,0.7019230769230769,3.644230769230769
3504800,Bálsamo,1,0.5852515827577116,0.3269230769230769,3.7403846153846154
3544004,Rio das Pedras,1,0.46387309186358644,0.5096153846153846,3.8365384615384617
3547403,Santa Rita d'Oeste,1,0.4986046648377705,0.36538461538461536,3.8461538461538463
3557204,Chavantes,1,0.4371219492177894,0.5192307692307693,4.346153846153846
3532157,Nantes,1,0.323068025883693,0.5865384615384616,4.4326923076923075
3527009,Lindóia,1,0.4742085626493927,0.19230769230769232,5.1923076923076925
3556404,Vargem Grande do Sul,1,0.5851945656578041,0.4807692307692308,5.230769230769231
3539400,Piratininga,1,0.500741269078916,0.3942307692307692,5.375
3556107,Valentim Gentil,1,0.7181195668042859,0.2692307692307692,5.759615384615385
3525805,Júlio Mesquita,1,0.3072960867557356,0.6442307692307693,5.903846153846154
3548807,São Caetano do Sul,1,0.8676961908059967,0.04807692307692308,6.673076923076923
3515301,Estrela do Norte,1,0.3869919013341359,0.38461538461538464,6.6826923076923075
3547502,Santa Rita do Passa Quatro,1,0.6301101618262394,0.4230769230769231,9.057692307692308
3510302,Capela do Alto,1,0.7594389363002059,0.038461538461538464,9.326923076923077
3532801,Nova Aliança,1,0.6048985934371016,0.49038461538461536,9.490384615384615
3520608,Indiana,1,0.3836555742738574,0.4326923076923077,10.336538461538462
3535200,Palmeira d'Oeste,1,0.7678030647085503,0.19230769230769232,11.153846153846153
3545605,Santa Adélia,1,0.7637995573597788,0.17307692307692307,12.653846153846153
3514007,Dobrada,1,0.5776772451042056,0.22115384615384615,15.096153846153847
3551504,Serrana,1,0.584297282915842,0.25,17.971153846153847
3523206,Itararé,1,0.7486633138751717,0.28846153846153844,18.807692307692307
3536000,Parapuã,1,0.7787612882337638,0.08653846153846154,21.298076923076923
3525706,José Bonifácio,1,0.7448385003163704,0.14423076923076922,24.58653846153846
3505609,Barrinha,5,0.9425328888562527,0.04807692307692308,16.64423076923077
3515509,Fernandópolis,5,0.9801518339533245,0.038461538461538464,24.0
3518404,Guaratinguetá,5,0.9733785973117642,0.028846153846153848,25.125
3525300,Jaú,5,0.9929874629898293,0.0,61.41346153846154
3502804,Araçatuba,5,0.9956142743015945,0.0,263.8269230769231
