scenario_id,rep,N,T,G_true,zero_type,rho_zeta_true,sigma_eta_true,beta0_mu_true,sigma_zeta_true,divergence_rate,treedepth_rate,accuracy,G0_mode,G0_correct,fit_time_min,sigma_eta_mean,sigma_eta_rhat,sigma_eta_ess,beta0_mu_mean,beta0_mu_rhat,beta0_mu_ess,rho_zeta_mean,rho_zeta_rhat,rho_zeta_ess,sigma_zeta_mean,sigma_zeta_rhat,sigma_zeta_ess,w1,w2,w3,w4,w5
1,1,50,100,3,infl,0.7,0.3,0.5,0.4,0.09,8.336,0.84,2,0,15.166227424144743,0.76895,1.00142,466.964,0.487226,1.0002,816.985,0.680904,1.00557,184.021,0.402515,1.00357,216.867,0.3647407306710123,0.1732342115417643,0.1145195848048712,0.1167821173521571,0.2307233594903003
1,2,50,100,3,infl,0.7,0.3,0.5,0.4,0.117,7.758,1.0,3,1,10.708288017908732,0.680915,1.02261,62.8866,0.539473,1.00258,843.11,0.682622,1.01505,159.947,0.393886,1.01472,202.863,0.3458554252833767,0.1510978543957599,0.2126668186330079,0.1378264316367264,0.1525534741959775
1,3,50,100,3,infl,0.7,0.3,0.5,0.4,0.045,7.407,1.0,3,1,9.391357064247131,0.369978,1.02198,54.6409,0.518538,1.00069,575.785,0.65095,1.01841,166.876,0.423146,1.00315,218.617,0.3596929000069999,0.0749030931140084,0.3442215426665867,0.0631541612693781,0.1580282997681771
1,4,50,100,3,infl,0.7,0.3,0.5,0.4,0.032,7.934,0.94,3,1,12.24586718082428,0.304518,1.01523,74.625,0.482752,1.00342,606.946,0.76073,1.00611,132.904,0.352287,1.01019,122.561,0.4241798091375264,0.0415984316900858,0.2540204857124493,0.1053762858419807,0.1748250038236996
1,5,50,100,3,infl,0.7,0.3,0.5,0.4,0.073,7.817,1.0,3,1,12.74296643336614,0.156594,1.20335,8.45533,0.467284,1.00515,542.087,0.726394,1.0029,211.732,0.412782,1.00081,249.625,0.3231982214,0.2798904786038117,0.0952657759916043,0.1163243126421785,0.1853211848549752
1,6,50,100,3,infl,0.7,0.3,0.5,0.4,0.046,8.412,1.0,3,1,17.405022676785787,0.466863,1.00791,56.3053,0.472426,1.00618,478.367,0.732446,1.01569,146.896,0.40015,1.02005,164.068,0.3422208721505258,0.1510640084427318,0.1970730048710473,0.1348482535059021,0.1747938800762024
1,7,50,100,3,infl,0.7,0.3,0.5,0.4,0.067,7.872,0.94,3,1,14.185904117425284,0.44096,1.00769,34.2429,0.488304,1.00071,498.999,0.65397,1.0028,142.824,0.407964,1.01244,169.621,0.335963671779936,0.1445550096755145,0.18836482713843,0.1104309534557878,0.2206855273619029
1,8,50,100,3,infl,0.7,0.3,0.5,0.4,0.14,9.17,0.76,2,0,35.00920554002126,0.679372,1.02298,144.496,0.475599,1.00065,612.067,0.679442,1.00801,124.973,0.384095,1.00967,121.43,0.3261718713519924,0.204324142237151,0.1879180218315188,0.1524740281930756,0.1291119440396096
1,9,50,100,3,infl,0.7,0.3,0.5,0.4,0.059,7.328,0.98,3,1,11.418513162930806,0.166169,1.1109,14.8063,0.472649,1.00898,642.6,0.737119,1.00614,203.698,0.383095,1.00659,214.74,0.458578251,0.0120266091139612,0.2108493920954757,0.1190633027945017,0.1994824729729655
1,10,50,100,3,infl,0.7,0.3,0.5,0.4,0.071,7.884,1.0,3,1,12.870976829528807,0.489612,1.0214,52.1222,0.567302,1.00042,582.404,0.655437,1.00805,147.528,0.409968,1.00839,209.746,0.3981939506137428,0.0941349185554166,0.2320867454410871,0.1058784757735814,0.1697059114835322
