scenario_id,rep,N,T,G_true,zero_type,rho_zeta_true,sigma_eta_true,beta0_mu_true,sigma_zeta_true,divergence_rate,treedepth_rate,accuracy,G0_mode,G0_correct,fit_time_min,sigma_eta_mean,sigma_eta_rhat,sigma_eta_ess,beta0_mu_mean,beta0_mu_rhat,beta0_mu_ess,rho_zeta_mean,rho_zeta_rhat,rho_zeta_ess,sigma_zeta_mean,sigma_zeta_rhat,sigma_zeta_ess,w1,w2,w3,w4,w5
1,11,50,50,3,infl,0.7,0.3,0.5,0.4,0.146,8.712,0.92,2,0,8.146643479665121,0.664624,1.00669,291.575,0.444087,1.00475,550.103,0.657358,1.00945,221.867,0.453904,1.01776,240.804,0.3773345179013544,0.1703870339207503,0.1524931949914144,0.1293790638170185,0.1704061814257499
1,12,50,50,3,infl,0.7,0.3,0.5,0.4,0.07,7.836,0.94,3,1,4.824933175245921,0.360675,1.03743,21.6993,0.514968,1.00186,616.255,0.624631,1.00857,69.8509,0.354442,1.00244,113.477,0.4383372351263564,0.0867256262183092,0.1631396395314312,0.1161491383556342,0.1956483603038272
1,13,50,50,3,infl,0.7,0.3,0.5,0.4,0.019,9.447,1.0,3,1,26.640965032577515,0.113152,1.24458,6.33216,0.544476,1.00163,1223.38,0.475232,1.00568,154.481,0.433224,0.999997,243.974,0.537465473,0.0136064973621557,0.0817154547203153,0.143095728903272,0.2241168363463948
1,14,50,50,3,infl,0.7,0.3,0.5,0.4,0.085,7.745,0.88,3,1,5.644864674409231,0.447286,1.04835,31.3539,0.57977,1.00491,479.684,0.848702,1.01791,112.869,0.287579,1.02263,126.453,0.515800158177,0.1124638198147173,0.0750692645078832,0.0855636059264265,0.2111031884672273
1,15,50,50,3,infl,0.7,0.3,0.5,0.4,0.026,8.442,0.9,3,1,7.423276511828105,0.185309,1.09487,15.9054,0.429615,1.00012,761.728,0.727948,1.0043,228.302,0.368739,1.00299,270.446,0.432507923,0.0490423184364063,0.33098698268,0.0261972525318453,0.1612655410215283
1,16,50,50,3,infl,0.7,0.3,0.5,0.4,0.114,7.732,0.86,2,0,5.120291908582051,0.600581,1.00958,349.619,0.569399,0.99952,707.311,0.72337,1.00233,151.454,0.395598,1.00062,192.051,0.3155656485810704,0.154341764424897,0.0952627576833251,0.155110992327218,0.2797188454127778
1,17,50,50,3,infl,0.7,0.3,0.5,0.4,0.098,8.26,0.78,2,0,6.883991030852,0.547096,1.06441,43.3888,0.455102,1.00587,605.042,0.542724,1.00935,141.081,0.470467,1.00597,194.891,0.3862074859804061,0.2030195297481761,0.1531519961546536,0.102261552182508,0.1553594238350283
1,18,50,50,3,infl,0.7,0.3,0.5,0.4,0.111,8.2,0.88,3,1,6.682298358281454,0.582691,1.04348,53.4387,0.520957,1.00259,624.136,0.726362,1.01895,117.293,0.373751,1.00382,155.313,0.323222560054885,0.0903092780408666,0.1407382943216264,0.187373224921412,0.2583566242717952
1,19,50,50,3,infl,0.7,0.3,0.5,0.4,0.064,7.379,0.84,3,1,5.075740579764048,0.371087,1.03513,29.0633,0.480476,1.00625,609.126,0.707296,1.00422,222.375,0.406829,1.00691,226.347,0.506377981,0.052117825407265,0.1202464061770203,0.1326711304979525,0.1885866356087307
1,20,50,50,3,infl,0.7,0.3,0.5,0.4,0.16,8.643,0.88,2,0,9.131849400202434,0.567761,1.04962,37.6035,0.433971,1.00279,814.666,0.652922,1.01225,204.875,0.407372,1.0059,233.705,0.3437845536336112,0.1579345972624284,0.1222122737088386,0.152928014476731,0.2231405802279345
1,21,50,50,3,infl,0.7,0.3,0.5,0.4,0.05,7.872,0.98,3,1,7.881499767303467,0.238083,1.1897,14.9103,0.527155,1.00435,840.491,0.587182,1.02346,103.397,0.447333,1.00412,290.523,0.2673364488804356,0.1106175540166246,0.2035340360362967,0.1593712178335378,0.2591407373925951
1,22,50,50,3,infl,0.7,0.3,0.5,0.4,0.117,9.717,0.92,3,1,36.360199177265166,0.248769,1.76701,3.02116,0.528432,1.00016,597.832,0.591141,1.01105,217.397,0.515394,1.00697,292.802,0.3929603845962,0.0343347339351256,0.2605111410203382,0.2052947234263108,0.1068989987313729
1,23,50,50,3,infl,0.7,0.3,0.5,0.4,0.044,7.898,0.9,3,1,7.900727641582489,0.123482,1.03996,22.9661,0.553316,1.00976,572.61,0.694373,1.00143,126.085,0.388845,1.00194,155.692,0.5183046400000001,0.0205602060148872,0.1825708639336111,0.0609368442791506,0.2176274633374084
1,24,50,50,3,infl,0.7,0.3,0.5,0.4,0.121,8.721,0.92,3,1,8.6520227988561,0.545171,1.06741,22.2806,0.515906,1.00943,892.062,0.747306,1.00196,364.17,0.340961,1.00444,337.556,0.4034012444903824,0.123518980511334,0.1966260275641837,0.1098616010534428,0.1665921197847012
1,25,50,50,3,infl,0.7,0.3,0.5,0.4,0.172,7.426,0.74,2,0,10.530537370840708,0.6229,1.02051,52.9466,0.465154,1.00083,590.267,0.66155,1.00083,111.021,0.449301,1.00145,138.656,0.2361079724019849,0.1839669005600429,0.2201175550996858,0.1868158388355446,0.1729917270016107
1,26,50,50,3,infl,0.7,0.3,0.5,0.4,0.131,7.728,0.92,2,0,5.9798596183458965,0.765956,1.00375,165.272,0.55057,1.00392,518.613,0.529486,1.03063,98.4126,0.360365,1.02646,108.622,0.2966523078157931,0.2039562626848072,0.1336757122119377,0.1520418126684127,0.2136738974202802
1,27,50,50,3,infl,0.7,0.3,0.5,0.4,0.104,10.315,0.84,2,0,37.44605551163355,0.771455,1.16487,42.788,0.596288,1.34481,6.90067,0.702513,1.58408,3.53986,0.392533,1.93049,2.82108,0.4589941290037999,0.104719642775568,0.2111853040642039,0.13302574014107,0.0920751977083632
1,28,50,50,3,infl,0.7,0.3,0.5,0.4,0.136,8.208,0.86,2,0,7.2131251215934755,0.65672,1.00129,159.059,0.465906,1.00175,693.506,0.696537,1.03487,113.258,0.43558,1.02626,148.713,0.3054508334285198,0.1792917144742321,0.1423991568577815,0.1407272669864124,0.2321310238115548
